  color ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  version ,  part ,  howev ,  hair ,  prefer ,  volum ,  hair ,,,,,,,,,,,,,,,,,,,,,,,,
  dy ,  hair ,  fuller ,  scent ,  pleasant ,  version ,  improv ,,,,,,,,,,,,,,,,,,,,,,,,
  product ,  year ,  choic ,  gettibg ,  hair ,  retain ,  luster ,  week ,  sinc ,  look ,  stay ,  product ,  see ,  result ,,,,,,,,,,,,,,,,,
  work ,  happi ,  others ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  love ,  use ,  thank ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  love ,  shampooconditioner ,  use ,  color ,  treat ,  hair ,  hair ,  greasi ,  feel ,  brand ,  product ,  anyon ,  color ,  hair ,  amaz ,  brand ,  panten ,,,,,,,,,,,,,,
  receiv ,  deliv ,  hair ,  shine ,  weightless ,  fragrance ,  amaz ,  water ,  color ,  formula ,  shine ,  love ,,,,,,,,,,,,,,,,,,,
  condition ,  sampl ,  condition ,  product ,  togeth ,  week ,  hair ,  feel ,  shiny ,,,,,,,,,,,,,,,,,,,,,,
  favorit ,  color ,  hair ,  hair ,  panten ,  color ,  day ,  volume ,  reason ,  price ,  happi ,  girl ,,,,,,,,,,,,,,,,,,,
  product ,  product ,  product ,  smell ,  wonderful ,  help ,  color ,  hair ,  heavi ,  buildup ,  hair ,  volume ,,,,,,,,,,,,,,,,,,,
  friend ,  exactli ,  color ,  hair ,  definit ,  recommend ,,,,,,,,,,,,,,,,,,,,,,,,,
  decid ,  condition ,  work ,  hydrat ,  help ,  hair ,  month ,,,,,,,,,,,,,,,,,,,,,,,,
  way ,  tri ,  color ,  preserv ,  color ,  color ,  longer ,  silki ,  shampoo ,,,,,,,,,,,,,,,,,,,,,,
  absolutli ,  color ,  volum ,  use ,  color ,  preserv ,  volum ,  shampoo ,,,,,,,,,,,,,,,,,,,,,,,
  product ,  weightless ,  didnt ,  understand ,  lk ,,,,,,,,,,,,,,,,,,,,,,,,,,
  product ,  help ,  hair ,  volum ,  color ,  look ,  el ,  ha ,,,,,,,,,,,,,,,,,,,,,,,
  color ,  creat ,  bodi ,  hair ,  head ,,,,,,,,,,,,,,,,,,,,,,,,,,
  hair ,  preserv ,  help ,  hair ,  color ,  longer ,,,,,,,,,,,,,,,,,,,,,,,,,
  iv ,  shampoo ,  wash ,  mayb ,  day ,  result ,  smell ,,,,,,,,,,,,,,,,,,,,,,,,
  use ,  use ,  volum ,  product ,  year ,  remov ,  condition ,  chang ,  shampoo ,  condition ,  nothing ,  love ,  product ,  compar ,  qualiti ,  use ,  product ,  bring ,  babi ,  hair ,  market ,  caus ,  hair ,  dri ,  power ,  feminin ,  scent ,  realli ,  stop ,  mess ,  thing 
  tri ,  aussom ,  volum ,  year ,  use ,  volume ,  know ,  NNP ,  formula ,  month ,  scalp ,  problem ,  hair ,  fall ,  bottl ,  smell ,  realli ,  alway ,  hair ,  realli ,  thicker ,  hardli ,  plea ,,,,,,,,
  hair ,  result ,  opposit ,  effect ,  hair ,  becam ,  limp ,  greasi ,  mention ,  product ,  aussie ,,,,,,,,,,,,,,,,,,,,
  chang ,  scalp ,  volume ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  scent ,  smell ,  bottl ,  ginger ,  jojoba ,  cherri ,  something ,  world ,  chang ,  formula ,  iv ,  year ,  smell ,  scent ,  rude ,,,,,,,,,,,,,,,,
  receiv ,  burn ,  eye ,  hair ,  avoid ,  condition ,  realli ,  pay ,,,,,,,,,,,,,,,,,,,,,,,
  use ,  sampl ,  influenster ,  smell ,  fruiti ,  slip ,  hair ,  hair ,  love ,  smell ,,,,,,,,,,,,,,,,,,,,,
  product ,  fragrance ,  contain ,  pure ,  tortur ,  use ,  bare ,  bottle ,,,,,,,,,,,,,,,,,,,,,,,
  shampoo ,  test ,  opinion ,  fall ,  shampoo ,  hair ,  felt ,  need ,  lot ,  condition ,  dryness ,  shampoo ,  drugstore ,  hate ,,,,,,,,,,,,,,,,,
  feel ,  smell ,  job ,  hair ,  iv ,  use ,  product ,  week ,  differ ,  volum ,  hair ,  coars ,  hold ,  volum ,  coars ,  hair ,  condition ,  spray ,  difference ,  product ,,,,,,,,,,,
  disappoint ,  volum ,  use ,  point ,  right ,  course ,  shampoo ,  differ ,  volume ,  hair ,  reciev ,  test ,  purpos ,  opinion ,,,,,,,,,,,,,,,,,
  use ,  shampoo ,  volume ,  fact ,  hair ,  lile ,  product ,  hold ,  test ,  opinion ,,,,,,,,,,,,,,,,,,,,,
  smooth ,  fragrance ,  contain ,  pure ,  tortur ,  use ,  bare ,  bottle ,,,,,,,,,,,,,,,,,,,,,,,
  hair ,  silki ,  finish ,  product ,  review ,  opinion ,,,,,,,,,,,,,,,,,,,,,,,,,
  item ,  hair ,  smell ,  littl ,  alittl ,  dislike ,  howev ,  smell ,  shampoo ,  product ,  tri ,  review ,  influencer ,  opinion ,  product ,,,,,,,,,,,,,,,,
  shampoo ,  opinion ,  use ,  product ,  shampoo ,  lather ,  realli ,  citrusi ,  condition ,  greasi ,  week ,  daili ,  use ,  hair ,,,,,,,,,,,,,,,,,
  product ,  leav ,  hair ,  lightweight ,  differ ,  volum ,  hair ,  product ,  product ,  repurchase ,  i ,  product ,  review ,,,,,,,,,,,,,,,,,,
  reaction ,  pretti ,  realli ,  right ,  product ,  use ,  yours ,  provid ,  littl ,  volum ,  advertising ,  test ,  product ,  opinion ,,,,,,,,,,,,,,,,,
  product ,  scent ,  way ,  hair ,  differ ,  volum ,  shampoo ,  product ,  opinion ,,,,,,,,,,,,,,,,,,,,,,
  shampoo ,  hair ,  dri ,  top ,  hair ,,,,,,,,,,,,,,,,,,,,,,,,,,
  shampoo ,  extrem ,  hair ,  use ,  le ,  hair ,  shampoo ,  product ,  smell ,  day ,  opinion ,,,,,,,,,,,,,,,,,,,,
  product ,  especi ,  smell ,  staright ,  hair ,  anyth ,  promis ,  volum ,  product ,  purchas ,,,,,,,,,,,,,,,,,,,,,
  shampoo ,  rest ,  influenst ,  opinion ,  shampoo ,  valu ,  smell ,  hair ,  lot ,  work ,,,,,,,,,,,,,,,,,,,,,
  im ,  realli ,  job ,  hair ,  heavi ,  lot ,  foam ,  lot ,  volume ,  packaging ,  shampoo ,  receiv ,  review ,  opinion ,,,,,,,,,,,,,,,,,
  boyfriend ,  fan ,  fragranc ,  overpow ,  thick ,  quality ,  littl ,  way ,  way ,  factor ,  ad ,  volume ,  addit ,  coupl ,  wash ,  conditioner ,  shampoo ,  strip ,  lot ,  oil ,  need ,  receiv ,  product ,  review ,  complet ,,,,,,
  love ,  use ,  shampoo ,  hair ,  realli ,  realli ,  hair ,  sit ,  head ,  shampoo ,  smell ,  volum ,  day ,  routinecondit ,  con ,  togeth ,  brush ,  test ,  aussi ,  product ,,,,,,,,,,,
