no,text
0,"['like', 'IN'], ['color', 'NN'], ['protection', 'NN'], ['part', 'NN'], ['however', 'RB'], ['hair', 'JJ'], ['feel', 'NN'], ['weighed', 'VBD'], ['using', 'VBG'], ['prefer', 'NN'], ['volume', 'NN'], ['shampoo', 'FW'], ['fine', 'JJ'], ['hair', 'NN']"
1,"['like', 'IN'], ['improved', 'VBN'], ['version', 'NN'], ['better', 'RBR'], ['old', 'JJ'], ['one', 'CD'], ['like', 'IN'], ['all', 'DT'], ['hair', 'NN'], ['feel', 'VB'], ['soft', 'JJ'], ['appears', 'VBZ'], ['little', 'JJ'], ['fuller', 'JJ'], ['scent', 'NN'], ['pleasant', 'JJ'], ['different', 'JJ'], ['old', 'JJ'], ['version', 'NN'], ['improvement', 'NN'], ['well', 'RB']"
2,"['recently', 'RB'], ['got', 'VBD'], ['hair', 'JJ'], ['dyed', 'RB'], ['many', 'JJ'], ['year', 'NN'], ['going', 'VBG'], ['without', 'IN'], ['pantene', 'JJ'], ['shampoo', 'NN'], ['choice', 'NN'], ['gettibg', 'NN'], ['hair', 'NN'], ['done', 'VBN'], ['retained', 'VBN'], ['luster', 'RBR'], ['week', 'NN'], ['since', 'IN'], ['got', 'VBD'], ['new', 'JJ'], ['look', 'NN'], ['stay', 'NN'], ['loyal', 'JJ'], ['pantene', 'JJ'], ['product', 'NN'], ['seeing', 'VBG'], ['result', 'NN']"
3,"['product', 'NN'], ['good', 'JJ'], ['happy', 'JJ'], ['it', 'PRP'], ['use', 'NN'], ['would', 'MD'], ['recommend', 'VB'], ['others', 'NNS']"
4,"['shampoo', 'JJ'], ['work', 'NN'], ['smell', 'RB'], ['great', 'JJ'], ['use', 'NN'], ['everyday', 'JJ'], ['thanks', 'NNS']"
5,"['love', 'NN'], ['shampooconditioner', 'NN'], ['use', 'NN'], ['everyday', 'JJ'], ['color', 'NN'], ['treated', 'VBD'], ['hair', 'JJ'], ['make', 'VBP'], ['hair', 'NN'], ['greasy', 'JJ'], ['oily', 'RB'], ['feeling', 'VBG'], ['like', 'IN'], ['brand', 'NN'], ['do', 'VBP'], ['highly', 'RB'], ['recommend', 'VB'], ['product', 'NN'], ['anyone', 'NN'], ['color', 'NN'], ['hair', 'NN'], ['amazing', 'VBG'], ['never', 'RB'], ['buy', 'VB'], ['another', 'DT'], ['brand', 'NN'], ['again', 'RB'], ['thank', 'JJ'], ['pantene', 'NN'], ['wonderful', 'NN']"
6,"['love', 'NN'], ['almost', 'RB'], ['shampoo', 'JJ'], ['favorite', 'JJ'], ['delivers', 'NNS'], ['clean', 'VBP'], ['hair', 'NN'], ['shine', 'NN'], ['weightless', 'NN'], ['conditioning', 'VBG'], ['clean', 'JJ'], ['fragrance', 'NN'], ['lather', 'RBR'], ['amazing', 'JJ'], ['rinse', 'NN'], ['clean', 'JJ'], ['even', 'RB'], ['hard', 'JJ'], ['water', 'NN'], ['love', 'VB'], ['classic', 'JJ'], ['clean', 'JJ'], ['color', 'NN'], ['safe', 'JJ'], ['formula', 'NN'], ['shine', 'NN'], ['love', 'NN']"
7,"['received', 'VBN'], ['sample', 'JJ'], ['shampoo', 'JJ'], ['conditioner', 'NN'], ['impressed', 'VBD'], ['bought', 'RB'], ['right', 'JJ'], ['away', 'RB'], ['using', 'VBG'], ['two', 'CD'], ['product', 'NN'], ['together', 'RB'], ['le', 'VBD'], ['one', 'CD'], ['week', 'NN'], ['love', 'VB'], ['them', 'PRP'], ['long', 'RB'], ['hair', 'NN'], ['feel', 'NN'], ['soft', 'JJ'], ['shiny', 'NN'], ['weighed', 'VBD'], ['down', 'RB']"
8,"['shampoo', 'NN'], ['conditioner', 'NN'], ['colored', 'VBD'], ['hair', 'JJ'], ['heavy', 'JJ'], ['hair', 'NN'], ['fell', 'VBD'], ['flat', 'JJ'], ['new', 'JJ'], ['pantene', 'NN'], ['color', 'NN'], ['fading', 'VBG'], ['day', 'NN'], ['volume', 'NN'], ['add', 'VBP'], ['super', 'JJ'], ['reasonable', 'JJ'], ['price', 'NN'], ['one', 'CD'], ['happy', 'JJ'], ['girl', 'NN']"
9,"['one', 'CD'], ['favorite', 'JJ'], ['pantene', 'NN'], ['product', 'NN'], ['product', 'NN'], ['rich', 'JJ'], ['smell', 'NN'], ['wonderful', 'NN'], ['help', 'NN'], ['protect', 'VB'], ['colored', 'JJ'], ['hair', 'NN'], ['without', 'IN'], ['heavy', 'JJ'], ['buildup', 'NN'], ['give', 'JJ'], ['fine', 'JJ'], ['hair', 'NN'], ['volume', 'NN']"
