,Reviews_Lower,POSTag
0,"i like the color protection part, however my hair feels weighed down after using. prefer the volume shampoo for fine hair.","[('like', 'IN'), ('color', 'NN'), ('protect', 'VBP'), ('part', 'NN'), ('howev', 'NN'), ('hair', 'NN'), ('feel', 'VBP'), ('weigh', 'JJ'), ('using', 'VBG'), ('prefer', 'NN'), ('volum', 'NN'), ('shampoo', 'FW'), ('fine', 'JJ'), ('hair', 'NN')]"
1,i like this improved version better than the old one which i didn't like at all. my hair feels very soft and appears a little fuller. the scent is pleasant - different than old version but is an improvement as well.,"[('like', 'IN'), ('improv', 'JJ'), ('version', 'NN'), ('better', 'RBR'), ('old', 'JJ'), ('one', 'CD'), ('like', 'IN'), ('all', 'DT'), ('hair', 'NN'), ('feel', 'VB'), ('soft', 'JJ'), ('appear', 'IN'), ('littl', 'JJ'), ('fuller', 'NN'), ('scent', 'NN'), ('pleasant', 'NN'), ('differ', 'VBP'), ('old', 'JJ'), ('version', 'NN'), ('improv', 'NN'), ('well', 'RB')]"
2,i recently got my hair dyed after many years of going without . pantene was my shampoo of choice after gettibg my hair done. it has retained its luster for weeks since i got my new look. i will stay loyal to pantene products after seeing its results.,"[('recent', 'JJ'), ('got', 'VBD'), ('hair', 'JJ'), ('dy', 'NNS'), ('mani', 'JJ'), ('year', 'NN'), ('go', 'VBP'), ('without', 'IN'), ('panten', 'RB'), ('shampoo', 'JJ'), ('choic', 'NN'), ('gettibg', 'NN'), ('hair', 'NN'), ('done', 'VBN'), ('retain', 'NN'), ('luster', 'NN'), ('week', 'NN'), ('sinc', 'NN'), ('got', 'VBD'), ('new', 'JJ'), ('look', 'NN'), ('stay', 'NN'), ('loyal', 'RB'), ('panten', 'JJ'), ('product', 'NN'), ('see', 'NN'), ('result', 'NN')]"
3,this product is good and i am happy with it. i will use it again and would recommend it to others.,"[('product', 'NN'), ('good', 'JJ'), ('happi', 'NN'), ('it', 'PRP'), ('use', 'WDT'), ('would', 'MD'), ('recommend', 'VB'), ('others', 'NNS')]"
4,this shampoo works and smells great. i use it everyday. thanks,"[('shampoo', 'JJ'), ('work', 'NN'), ('smell', 'RB'), ('great', 'JJ'), ('use', 'NN'), ('everyday', 'JJ'), ('thank', 'NN')]"
5,i love this shampoo/conditioner. i use it everyday on my color treated hair. it doesn't make your hair greasy or oily feeling like most other brands do. i highly recommend this product to anyone who colors their hair. its amazing and i will never buy another brand again!! thank you pantene for being so wonderful :),"[('love', 'NN'), ('shampooconditioner', 'NN'), ('use', 'NN'), ('everyday', 'JJ'), ('color', 'NN'), ('treat', 'NN'), ('hair', 'NN'), ('make', 'VBP'), ('hair', 'NN'), ('greasi', 'NN'), ('oili', 'VBP'), ('feel', 'NN'), ('like', 'IN'), ('brand', 'NN'), ('do', 'VBP'), ('highli', 'VB'), ('recommend', 'VB'), ('product', 'NN'), ('anyon', 'NN'), ('color', 'NN'), ('hair', 'NN'), ('amaz', 'NN'), ('never', 'RB'), ('buy', 'VB'), ('anoth', 'DT'), ('brand', 'NN'), ('again', 'RB'), ('thank', 'JJ'), ('panten', 'NNS'), ('wonder', 'VBP')]"
6,"i love almost all your shampoos but this is my favorite. it delivers clean hair, shine, weightless conditioning, and a very clean fragrance. the lather is amazing and it rinses clean even in hard water. i love the classic clean and the other color safe formula for shine. love!","[('love', 'NN'), ('almost', 'RB'), ('shampoo', 'JJ'), ('favorite', 'JJ'), ('deliv', 'NN'), ('clean', 'JJ'), ('hair', 'NN'), ('shine', 'NN'), ('weightless', 'NN'), ('conditioning', 'VBG'), ('clean', 'JJ'), ('fragrance', 'NN'), ('lather', 'RBR'), ('amaz', 'NN'), ('rins', 'VBZ'), ('clean', 'JJ'), ('even', 'RB'), ('hard', 'JJ'), ('water', 'NN'), ('love', 'VB'), ('classic', 'JJ'), ('clean', 'JJ'), ('color', 'NN'), ('safe', 'JJ'), ('formula', 'NN'), ('shine', 'NN'), ('love', 'NN')]"
7,"i received a sample of both the shampoo and conditioner and was very impressed. i bought them right away and have only been using these two products together for less than one week and i love them! my long hair feels so soft, is shiny, and not weighed down.","[('receiv', 'NN'), ('sampl', 'NN'), ('shampoo', 'JJ'), ('condition', 'NN'), ('impressed', 'VBD'), ('bought', 'RB'), ('right', 'RB'), ('away', 'RB'), ('use', 'JJ'), ('two', 'CD'), ('product', 'NN'), ('togeth', 'NNS'), ('le', 'VBP'), ('one', 'CD'), ('week', 'NN'), ('love', 'VB'), ('them', 'PRP'), ('long', 'RB'), ('hair', 'NN'), ('feel', 'NN'), ('soft', 'JJ'), ('shiny', 'NN'), ('weigh', 'VBP'), ('down', 'RP')]"
8,most shampoos and conditioners for colored hair are so heavy that my hair just fell flat. with this new pantene my color isn't fading and i have all day volume. add the super reasonable price and i am one happy girl!,"[('shampoo', 'JJ'), ('condition', 'NN'), ('color', 'NN'), ('hair', 'NN'), ('heavi', 'JJ'), ('hair', 'NN'), ('fell', 'VBD'), ('flat', 'JJ'), ('new', 'JJ'), ('panten', 'NNS'), ('color', 'NN'), ('fade', 'VBD'), ('day', 'NN'), ('volume', 'NN'), ('add', 'VBP'), ('super', 'JJ'), ('reason', 'NN'), ('price', 'NN'), ('one', 'CD'), ('happi', 'NN'), ('girl', 'NN')]"
9,one of my favorite pantene products. the product is rich and smells wonderful. it helps protect my colored hair without heavy buildup and gives my fine hair volume.,"[('one', 'CD'), ('favorit', 'NN'), ('panten', 'JJ'), ('product', 'NN'), ('product', 'NN'), ('rich', 'JJ'), ('smell', 'NN'), ('wonderful', 'NN'), ('help', 'NN'), ('protect', 'VB'), ('color', 'NN'), ('hair', 'NN'), ('without', 'IN'), ('heavi', 'NN'), ('buildup', 'NN'), ('give', 'VBP'), ('fine', 'JJ'), ('hair', 'NN'), ('volume', 'NN')]"
